index,doppler_offset,timestamp,measured_freq
232,2015.0473632812,2018-01-13T16:12:25.062011Z,145882015.0473632812
233,2017.2209472656,2018-01-13T16:12:25.162011Z,145882017.2209472656
234,2018.9835205078,2018-01-13T16:12:25.262011Z,145882018.9835205078
235,2011.2395019531,2018-01-13T16:12:25.362011Z,145882011.2395019531
236,2000.0375976562,2018-01-13T16:12:25.462011Z,145882000.0375976562
237,2018.1062011719,2018-01-13T16:12:25.562011Z,145882018.1062011719
238,1992.6334228516,2018-01-13T16:12:25.662011Z,145881992.6334228516
239,1992.9742431641,2018-01-13T16:12:25.762011Z,145881992.9742431641
240,1998.7047119141,2018-01-13T16:12:25.862011Z,145881998.7047119141
241,1997.3375244141,2018-01-13T16:12:25.962011Z,145881997.3375244141
242,1986.1058349609,2018-01-13T16:12:26.062011Z,145881986.1058349609
243,2000.1392822266,2018-01-13T16:12:26.162011Z,145882000.1392822266
244,2003.7459716797,2018-01-13T16:12:26.262011Z,145882003.7459716797
245,2011.0191650391,2018-01-13T16:12:26.362011Z,145882011.0191650391
246,1997.7603759766,2018-01-13T16:12:26.462011Z,145881997.7603759766
247,2010.4523925781,2018-01-13T16:12:26.562011Z,145882010.4523925781
248,1990.3310546875,2018-01-13T16:12:26.662011Z,145881990.3310546875
249,1996.5880126953,2018-01-13T16:12:26.762011Z,145881996.5880126953
250,1983.0412597656,2018-01-13T16:12:26.862011Z,145881983.0412597656
251,1986.5101318359,2018-01-13T16:12:26.962011Z,145881986.5101318359
252,1987.4912109375,2018-01-13T16:12:27.062011Z,145881987.4912109375
253,1985.2362060547,2018-01-13T16:12:27.162011Z,145881985.2362060547
254,1998.2723388672,2018-01-13T16:12:27.262011Z,145881998.2723388672
255,1973.9022216797,2018-01-13T16:12:27.362011Z,145881973.9022216797
256,1967.6223144531,2018-01-13T16:12:27.462011Z,145881967.6223144531
257,1974.3941650391,2018-01-13T16:12:27.562011Z,145881974.3941650391
258,1979.4797363281,2018-01-13T16:12:27.662011Z,145881979.4797363281
259,1987.1409912109,2018-01-13T16:12:27.762011Z,145881987.1409912109
260,1981.1512451172,2018-01-13T16:12:27.862011Z,145881981.1512451172
261,1999.6917724609,2018-01-13T16:12:27.962011Z,145881999.6917724609
262,2003.9499511719,2018-01-13T16:12:28.062011Z,145882003.9499511719
263,1994.8214111328,2018-01-13T16:12:28.162011Z,145881994.8214111328
264,2007.2194824219,2018-01-13T16:12:28.262011Z,145882007.2194824219
265,1998.0570068359,2018-01-13T16:12:28.362011Z,145881998.0570068359
266,1998.3990478516,2018-01-13T16:12:28.462011Z,145881998.3990478516
267,2010.7142333984,2018-01-13T16:12:28.562011Z,145882010.7142333984
268,2003.6914062500,2018-01-13T16:12:28.662011Z,145882003.6914062500
269,2007.7550048828,2018-01-13T16:12:28.762011Z,145882007.7550048828
270,1995.5820312500,2018-01-13T16:12:28.862011Z,145881995.5820312500
271,1981.5557861328,2018-01-13T16:12:28.962011Z,145881981.5557861328
272,1994.9493408203,2018-01-13T16:12:29.062011Z,145881994.9493408203
273,1991.2156982422,2018-01-13T16:12:29.162011Z,145881991.2156982422
274,1996.8503417969,2018-01-13T16:12:29.262011Z,145881996.8503417969
275,1996.8819580078,2018-01-13T16:12:29.362011Z,145881996.8819580078
276,2007.6949462891,2018-01-13T16:12:29.462011Z,145882007.6949462891
277,1958.5755615234,2018-01-13T16:12:29.562011Z,145881958.5755615234
278,1968.4136962891,2018-01-13T16:12:29.662011Z,145881968.4136962891
279,1953.3942871094,2018-01-13T16:12:29.762011Z,145881953.3942871094
280,1977.7139892578,2018-01-13T16:12:29.862011Z,145881977.7139892578
281,1996.3195800781,2018-01-13T16:12:29.962011Z,145881996.3195800781
282,1960.0244140625,2018-01-13T16:12:30.062011Z,145881960.0244140625
283,1957.8153076172,2018-01-13T16:12:30.162011Z,145881957.8153076172
284,1963.5014648438,2018-01-13T16:12:30.262011Z,145881963.5014648438
285,1958.5220947266,2018-01-13T16:12:30.362011Z,145881958.5220947266
286,1941.9273681641,2018-01-13T16:12:30.462011Z,145881941.9273681641
